"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","Seed","glmmTMB_collapsed_vars"
49,"Bondell",1,0.4,0.00114137175555556,1,0.5,0.0190809950153338,0.4,0.4,0,0.00546099120291269,NA,12345,NA
50,"glmmTMB",1,1,0.00184777362195473,NA,NA,0.0191787611187381,1.22508372483069,NA,NA,NA,FALSE,12345,NA
50,"Lin",1,0.2,0.000859354041024707,1,1,0.0484721175523718,2.5,0.1,0.00810505998641015,0.0198242061079785,NA,12345,NA
50,"Bondell",1,0.4,0.000265862230777778,1,0.5,0.0210733975867749,0.4,0.4,0.0146830481500977,0,NA,12345,NA
1,"glmmTMB",1,1,0.00162337207600013,NA,NA,0.0218155170938583,0.001,NA,NA,NA,FALSE,67890,""
1,"Lin",0.666666666666667,0,0.0286319007029207,1,0.5,0.0993053789287624,5,0.5,-5.6096562859119e-05,0.0372399899054542,NA,67890,NA
1,"Bondell",1,0.2,0.00474759634822222,1,0.5,0.0346298616660873,0.4,0.4,0,0.0114988256244792,NA,67890,NA
2,"glmmTMB",0.666666666666667,0.8,0.0488008939233267,NA,NA,0.103988137007286,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
2,"Lin",0.666666666666667,0,0.0288055624557602,1,0.5,0.0641124046945592,10,0.1,-0.0029024746263801,0.0276216104968616,NA,67890,NA
2,"Bondell",0.666666666666667,0.2,0.0380852245255556,1,0,0.0798268751985483,0.4,0.4,0,0,NA,67890,NA
3,"glmmTMB",1,1,0.00807627726952504,NA,NA,0.0297303213147149,0.001,NA,NA,NA,FALSE,67890,""
3,"Lin",0.666666666666667,0,0.0289218866509399,1,0,0.0788790715091953,2.5,2.5,0,0,NA,67890,NA
3,"Bondell",1,0.2,0.0113599273691111,1,0,0.0404895855738775,0.4,0.4,0,0,NA,67890,NA
4,"glmmTMB",0.666666666666667,0.4,0.0317543299270314,NA,NA,0.0814959483057155,15.8158385678152,NA,NA,NA,TRUE,67890,"x1"
4,"Lin",0.666666666666667,0,0.027822986756334,1,0.5,0.0730135727198377,0.5,1,0,0.00770570460076772,NA,67890,NA
4,"Bondell",0.666666666666667,0,0.033490422713,1,0,0.0712448973115365,0.2,0.2,0,0,NA,67890,NA
5,"glmmTMB",1,1,0.00169164860475507,NA,NA,0.0318842176936892,0.001,NA,NA,NA,FALSE,67890,""
5,"Lin",1,0.2,0.000487173936829923,1,0.5,0.0316581942658042,1,0.1,0.00922422317541699,-0.003430713996872,NA,67890,NA
5,"Bondell",1,0.2,0.000454488390111111,1,0.5,0.0289106328293694,0.4,0.4,0.00242367175797838,0,NA,67890,NA
6,"glmmTMB",1,1,0.036439264805408,NA,NA,0.0828390277643803,6.11816872991646,NA,NA,NA,FALSE,67890,""
6,"Lin",0.666666666666667,0,0.0283844731097312,1,0,0.0655588555945072,5,2.5,0,0,NA,67890,NA
6,"Bondell",0.666666666666667,0.4,0.0295172018124444,1,0,0.0680478663733017,0.4,0.4,0,0,NA,67890,NA
7,"glmmTMB",0.666666666666667,0.6,0.0287880743774139,NA,NA,0.0900750521274038,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
7,"Lin",0.666666666666667,0,0.0293838783267799,1,0,0.0968777739350092,2.5,0.1,-0.0149384020725223,0,NA,67890,NA
7,"Bondell",0.666666666666667,0.6,0.0297448398315556,1,0,0.0910232218324446,0.4,0.4,0,0,NA,67890,NA
8,"glmmTMB",1,1,0.0172966179385261,NA,NA,0.0570132317843725,0.001,NA,NA,NA,FALSE,67890,""
8,"Lin",1,0,0.000302032769124996,1,1,0.0345948315340264,2.5,0.5,0.0215475311173306,0.00120458948983571,NA,67890,NA
8,"Bondell",1,0.4,0.00156590323311111,1,0,0.0282967476448236,0.4,0.4,0,0,NA,67890,NA
9,"glmmTMB",1,0.6,0.0294194632124034,NA,NA,0.0700780489877462,20.6184125759897,NA,NA,NA,FALSE,67890,""
9,"Lin",0.666666666666667,0,0.0290793158535786,1,1,0.0746878778707711,5,0.1,0.0179796117094436,0.00906785477527296,NA,67890,NA
9,"Bondell",1,0.2,0.00593026122255555,1,0.5,0.028672509936488,0.4,0.4,0.00720704259090643,0,NA,67890,NA
